Time	[EIP_STUDY]ARR_TIMER[0].PRE	[EIP_STUDY]ARR_TIMER[0].ACC	[EIP_STUDY]ARR_TIMER[0].DN	[EIP_STUDY]ARR_TIMER[0].EN	[EIP_STUDY]ARR_TIMER[1].PRE	[EIP_STUDY]ARR_TIMER[1].ACC	[EIP_STUDY]ARR_TIMER[1].DN	[EIP_STUDY]ARR_TIMER[1].EN	[EIP_STUDY]ARR_TIMER[1].ACC.0	[EIP_STUDY]ARR_TIMER[1].ACC.1	[EIP_STUDY]ARR_TIMER[1].ACC.2	[EIP_STUDY]ARR_TIMER[1].ACC.3
637176658447093106	500	500	1	1	1000	171	0	1	1	1	0	1
637176658447193106	500	500	1	1	1000	176	0	1	0	0	0	0
637176658447293106	500	500	1	1	1000	188	0	1	0	0	1	1
637176658447393106	500	500	1	1	1000	199	0	1	1	1	1	0
637176658447493106	500	500	1	1	1000	210	0	1	0	1	0	0
637176658447593107	500	500	1	1	1000	216	0	1	0	0	0	1
637176658447693107	500	500	1	1	1000	227	0	1	1	1	0	0
637176658447793107	500	500	1	1	1000	238	0	1	0	1	1	1
637176658447893107	500	500	1	1	1000	249	0	1	1	0	0	1
637176658447993107	500	500	1	1	1000	260	0	1	0	0	1	0
637176658448093107	500	500	1	1	1000	266	0	1	0	1	0	1
637176658448193107	500	500	1	1	1000	277	0	1	1	0	1	0
637176658448293107	500	500	1	1	1000	289	0	1	1	0	0	0
637176658448393108	500	500	1	1	1000	300	0	1	0	0	1	1
637176658448493108	500	500	1	1	1000	306	0	1	1	1	1	0
637176658448593108	500	500	1	1	1000	317	0	1	1	0	1	1
637176658448693108	500	500	1	1	1000	328	0	1	0	0	0	1
637176658448793108	500	500	1	1	1000	339	0	1	1	1	0	0
637176658448893108	500	500	1	1	1000	350	0	1	0	1	1	1
637176658448993108	500	500	1	1	1000	356	0	1	0	0	1	0
637176658449093109	500	500	1	1	1000	367	0	1	1	1	1	1
637176658449193109	500	500	1	1	1000	379	0	1	1	1	0	1
637176658449293109	500	500	1	1	1000	390	0	1	0	1	1	0
637176658449393109	500	500	1	1	1000	396	0	1	0	0	1	1
637176658449493109	500	500	1	1	1000	407	0	1	1	1	1	0
637176658449593109	500	500	1	1	1000	418	0	1	0	1	0	0
637176658449693109	500	500	1	1	1000	430	0	1	0	1	1	1
637176658449793110	500	500	1	1	1000	441	0	1	1	0	0	1
637176658449893110	500	500	1	1	1000	447	0	1	1	1	1	1
637176658449993110	500	500	1	1	1000	458	0	1	0	1	0	1
637176658450093110	500	500	1	1	1000	469	0	1	1	0	1	0
637176658450193110	500	500	1	1	1000	480	0	1	0	0	0	0
637176658450293110	500	500	1	1	1000	486	0	1	0	1	1	0
637176658450393110	500	500	1	1	1000	497	0	1	1	0	0	0
637176658450493111	500	500	1	1	1000	508	0	1	0	0	1	1
637176658450593111	500	500	1	1	1000	519	0	1	1	1	1	0
637176658450693111	500	500	1	1	1000	530	0	1	0	1	0	0
637176658450793111	500	500	1	1	1000	536	0	1	0	0	0	1
637176658450893111	500	500	1	1	1000	547	0	1	1	1	0	0
637176658450993111	500	500	1	1	1000	559	0	1	1	1	1	1
637176658451093111	500	500	1	1	1000	570	0	1	0	1	0	1
637176658451193112	500	500	1	1	1000	576	0	1	0	0	0	0
637176658451293112	500	500	1	1	1000	587	0	1	1	1	0	1
637176658451393112	500	500	1	1	1000	598	0	1	0	1	1	0
637176658451493112	500	500	1	1	1000	609	0	1	1	0	0	0
637176658451593112	500	500	1	1	1000	620	0	1	0	0	1	1
637176658451693112	500	500	1	1	1000	626	0	1	0	1	0	0
637176658451793112	500	500	1	1	1000	637	0	1	1	0	1	1
637176658451893113	500	500	1	1	1000	648	0	1	0	0	0	1
637176658451993113	500	500	1	1	1000	659	0	1	1	1	0	0
637176658452093113	500	500	1	1	1000	670	0	1	0	1	1	1
637176658452193113	500	500	1	1	1000	676	0	1	0	0	1	0
637176658452293113	500	500	1	1	1000	687	0	1	1	1	1	1
637176658452393113	500	500	1	1	1000	698	0	1	0	1	0	1
637176658452493113	500	500	1	1	1000	709	0	1	1	0	1	0
637176658452593114	500	500	1	1	1000	721	0	1	1	0	0	0
637176658452693114	500	500	1	1	1000	726	0	1	0	1	1	0
637176658452793114	500	500	1	1	1000	737	0	1	1	0	0	0
637176658452893114	500	500	1	1	1000	748	0	1	0	0	1	1
637176658452993114	500	500	1	1	1000	760	0	1	0	0	0	1
637176658453093114	500	500	1	1	1000	771	0	1	1	1	0	0
637176658453193114	500	500	1	1	1000	776	0	1	0	0	0	1
637176658453293114	500	500	1	1	1000	787	0	1	1	1	0	0
637176658453393115	500	500	1	1	1000	799	0	1	1	1	1	1
637176658453493115	500	500	1	1	1000	810	0	1	0	1	0	1
637176658453593115	500	500	1	1	1000	816	0	1	0	0	0	0
637176658453693115	500	500	1	1	1000	827	0	1	1	1	0	1
637176658453793115	500	500	1	1	1000	838	0	1	0	1	1	0
637176658453893115	500	500	1	1	1000	849	0	1	1	0	0	0
637176658453993115	500	500	1	1	1000	860	0	1	0	0	1	1
637176658454093116	500	500	1	1	1000	866	0	1	0	1	0	0
637176658454193116	500	500	1	1	1000	877	0	1	1	0	1	1
637176658454293116	500	500	1	1	1000	888	0	1	0	0	0	1
637176658454393116	500	500	1	1	1000	899	0	1	1	1	0	0
637176658454493116	500	500	1	1	1000	910	0	1	0	1	1	1
637176658454593116	500	500	1	1	1000	916	0	1	0	0	1	0
637176658454693116	500	500	1	1	1000	927	0	1	1	1	1	1
637176658454793117	500	500	1	1	1000	938	0	1	0	1	0	1
637176658454893117	500	500	1	1	1000	950	0	1	0	1	1	0
637176658454993117	500	500	1	1	1000	961	0	1	1	0	0	0
637176658455093117	500	500	1	1	1000	966	0	1	0	1	1	0
637176658455193117	500	500	1	1	1000	978	0	1	0	1	0	0
637176658455293117	500	500	1	1	1000	989	0	1	1	0	1	1
637176658455393117	500	0	0	1	1000	0	0	0	0	0	0	0
